dataset,split,source_example_id,source_image_id,physical_image_path,image_hash,manifest_row_id,factor,variant,pool_id,numeric_tail,carrier
tallyqa,audit,count_000005:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000005_relevant.png,bd9e9208d476dfb4539dbd9a875870d3dcfcff047f0362fb09d91c6f4bc31ac1,count_000005:relevant,count,relevant,,000005,tallyqa
tallyqa,audit,count_000005:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000005_irrelevant.png,9d67f455d6c0c61a8f5ec97d4db492619cd88d2d85ab719a8c8afb409b36a353,count_000005:irrelevant,count,irrelevant,,000005,tallyqa
tallyqa,audit,count_000006:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000006_base.png,147e783b65b2e18419076d4c4195f381e1b7bb30684c55464c229ec5f91e850d,count_000006:base,count,base,,000006,tallyqa
tallyqa,audit,count_000006:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000006_relevant.png,8f7e4863957d9d55181e1409126e5b86c176200f95b0a87c2554c8439c9868ae,count_000006:relevant,count,relevant,,000006,tallyqa
tallyqa,audit,count_000006:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000006_irrelevant.png,05eba15f47cbe1df7cb2ac655be7cca02fac23c0b99594a58043e600af50e4aa,count_000006:irrelevant,count,irrelevant,,000006,tallyqa
tallyqa,audit,count_000007:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000007_base.png,3cbc84a9aebe96cce2f3b2695f35844bac47d69c70e0a29da059ae62458d11ed,count_000007:base,count,base,,000007,tallyqa
tallyqa,audit,count_000007:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000007_relevant.png,6e2ed77d0f77bde1c3d11bf1c2faeefc51847ce539a425b01a4af58df49c3ab2,count_000007:relevant,count,relevant,,000007,tallyqa
tallyqa,audit,count_000007:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000007_irrelevant.png,0a7b932b6732f12b5e06735f99b2f3d3c1ef999f210eefe552c83cf85bed972e,count_000007:irrelevant,count,irrelevant,,000007,tallyqa
tallyqa,audit,count_000008:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000008_base.png,f5a2cbe6a9ac4fba0e3a86a3029cb2a18998d71af4022f76c9e0eed9e408eebd,count_000008:base,count,base,,000008,tallyqa
tallyqa,audit,count_000008:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000008_relevant.png,507b2d184390594d0a8d66537108473792a38fffccccc64c874b23f0e1e77b1a,count_000008:relevant,count,relevant,,000008,tallyqa
tallyqa,audit,count_000008:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000008_irrelevant.png,81e8288cc20c322928345533f5c1fd895842a545379222fa138b44958791a07c,count_000008:irrelevant,count,irrelevant,,000008,tallyqa
tallyqa,audit,count_000009:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000009_base.png,a20bccb4ab390957f4c3c33688b4cf337b3c309f7903e24f85d57fc2afff7309,count_000009:base,count,base,,000009,tallyqa
tallyqa,audit,count_000009:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000009_relevant.png,ce40fb4f5543bdcfad8b40da895cb82d9ae595d412af81e97508e5def966498b,count_000009:relevant,count,relevant,,000009,tallyqa
tallyqa,audit,count_000009:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000009_irrelevant.png,dc47a2765f61dabb31ccdf1013e6e5be26e324070189e7ac9d056c646bb66336,count_000009:irrelevant,count,irrelevant,,000009,tallyqa
tallyqa,audit,count_000010:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000010_base.png,e8d8741a931e688ce2dc7a183368ee5cd66d59c8b7d2fe36b37b230023fa8ebe,count_000010:base,count,base,,000010,tallyqa
tallyqa,audit,count_000010:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000010_relevant.png,b9cec5d62dc12a3a084655df10a1497dcee2f2c1433825f7d85ca47b33edeafb,count_000010:relevant,count,relevant,,000010,tallyqa
tallyqa,audit,count_000010:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000010_irrelevant.png,d438c196c3b286b550e4a2d700b8c20592db5b01046448348f000812696d7e42,count_000010:irrelevant,count,irrelevant,,000010,tallyqa
tallyqa,audit,count_000011:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000011_base.png,d0e0547b151ef36f555ba1af55c13596abe33a34696de964f23a2b241948c38c,count_000011:base,count,base,,000011,tallyqa
tallyqa,audit,count_000011:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000011_relevant.png,6db4221309bb20b9b4ff79598a7afc0382719fbc086c9b737659c220bea840d0,count_000011:relevant,count,relevant,,000011,tallyqa
tallyqa,audit,count_000011:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000011_irrelevant.png,05f38488e1086e2b0d9b91539a3ba388a38f9c2ba29c111f788a2fa23d2d6986,count_000011:irrelevant,count,irrelevant,,000011,tallyqa
tallyqa,audit,count_000012:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000012_base.png,e94d07126a8242258f41997a0277adb98cbd63284e0f38b0fce4481a670cff22,count_000012:base,count,base,,000012,tallyqa
tallyqa,audit,count_000012:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000012_relevant.png,d270b7e8564281cb7b2073673c2a8840b348e8d57f3c33fe0aa909a7c467e146,count_000012:relevant,count,relevant,,000012,tallyqa
tallyqa,audit,count_000012:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000012_irrelevant.png,9332997aa7b3250bc1de50e279d1a7b7bdcbe14eea798885c2fc941f510da947,count_000012:irrelevant,count,irrelevant,,000012,tallyqa
tallyqa,audit,count_000013:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000013_base.png,9c3aef72f2bed079dad05bbba2977b4b50f83adf5b28ddf2c459578c7216dd86,count_000013:base,count,base,,000013,tallyqa
tallyqa,audit,count_000013:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000013_relevant.png,2502005af890c08b452c5acc5b14ed669e28cd519a53ae56b4555fba310ccb55,count_000013:relevant,count,relevant,,000013,tallyqa
tallyqa,audit,count_000013:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000013_irrelevant.png,4dc9d845ad3af403e33f06e3df008019889bcfaea6a24ba2a25111b3e9145133,count_000013:irrelevant,count,irrelevant,,000013,tallyqa
tallyqa,audit,count_000014:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000014_base.png,df4dada76266ade486a92bedd4f6b1f86f9664c1e84b99af81b00c9cb9b30fd7,count_000014:base,count,base,,000014,tallyqa
tallyqa,audit,count_000014:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000014_relevant.png,3fdc94d2f958bb63a855d6c2831eac0f64f3e1567f9b2bf6a6464125ee7a02e8,count_000014:relevant,count,relevant,,000014,tallyqa
tallyqa,audit,count_000014:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000014_irrelevant.png,ebc1a32a2fdd8c930b31550431450b4734d6ca91c93cfafa8dc6a75a86f9e306,count_000014:irrelevant,count,irrelevant,,000014,tallyqa
tallyqa,audit,count_000015:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000015_base.png,88eac837625557020bde2030a317af89bd20e5083fe87f6fbbf8adeea729a658,count_000015:base,count,base,,000015,tallyqa
tallyqa,audit,count_000015:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000015_relevant.png,40c1f7bebbc5a42babbb19a1c50fdab2154a82561b95d160bb1ecb1254a1f936,count_000015:relevant,count,relevant,,000015,tallyqa
tallyqa,audit,count_000015:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000015_irrelevant.png,4cde0547f427f622a43f44d9f5ef45957357b0d00d31052cf049aeec4861d07f,count_000015:irrelevant,count,irrelevant,,000015,tallyqa
tallyqa,audit,count_000016:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000016_base.png,d1ee219355329f8ef17a170ab9bc93093d9d64acd0a2adb681a6e9a340176ce7,count_000016:base,count,base,,000016,tallyqa
tallyqa,audit,count_000016:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000016_relevant.png,4dbb7a9906fbcecd8ecef4eed66d8c08a7919d2126e7152b4e8d9860162822f7,count_000016:relevant,count,relevant,,000016,tallyqa
tallyqa,audit,count_000016:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000016_irrelevant.png,55265dd654b8d28bac2344357e952b2c63723f44cc9a6ef5ef9777a6106fda0a,count_000016:irrelevant,count,irrelevant,,000016,tallyqa
tallyqa,audit,count_000017:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000017_base.png,a9de1c493371cd5326ba5ecf11588ab84d48b96b6936911ff4f22374ae29dbec,count_000017:base,count,base,,000017,tallyqa
tallyqa,audit,count_000017:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000017_relevant.png,f65055777104bc8684378b1d3a841c49102cbc1b9601cab7a4871cc538e5606d,count_000017:relevant,count,relevant,,000017,tallyqa
tallyqa,audit,count_000017:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000017_irrelevant.png,23e978e5d6903f9a396e0ec3585376e1d6f98111c770841f657aeee480e68529,count_000017:irrelevant,count,irrelevant,,000017,tallyqa
tallyqa,audit,count_000018:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000018_base.png,8a4c48a2908be2558ca126cd79072470a3f696622ac1974d22ad7227f2c294e8,count_000018:base,count,base,,000018,tallyqa
tallyqa,audit,count_000018:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000018_relevant.png,6fae155dce476a37ca66fc37dac83886aa8ae3b91bac2b1a03c93d06e0e7f822,count_000018:relevant,count,relevant,,000018,tallyqa
tallyqa,audit,count_000018:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000018_irrelevant.png,d7b89db75ca9e2f172b73e559eb3231fffb8f664a43eca730e332c076fe5ceef,count_000018:irrelevant,count,irrelevant,,000018,tallyqa
tallyqa,audit,count_000019:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000019_base.png,35b8e3ccbc0f31a8f2b70a099866a77fbdc8d1ee0caefd60c3c80802fad0b9f1,count_000019:base,count,base,,000019,tallyqa
tallyqa,audit,count_000019:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000019_relevant.png,71d1f1654b0718e791f48f9e9703844c683506d5fb9b3682345edb1464ba583c,count_000019:relevant,count,relevant,,000019,tallyqa
tallyqa,audit,count_000019:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000019_irrelevant.png,31fca47330c52fdb8af67d0ddb410925c0fabcd3df49086810bc69947db78aad,count_000019:irrelevant,count,irrelevant,,000019,tallyqa
tallyqa,audit,count_000020:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000020_base.png,c4991145274cc8da1d7c428619b5c66b030372197417a83073208abe0fb04557,count_000020:base,count,base,,000020,tallyqa
tallyqa,audit,count_000020:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000020_relevant.png,b6568fb612eb84e8f8f9283ba3c69035f59d5739d4aab72ae89da27e6c806eb1,count_000020:relevant,count,relevant,,000020,tallyqa
tallyqa,audit,count_000020:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000020_irrelevant.png,f2430785678a0116de466a6b4052504182c19ec2c64493d13a9e688fcb20db80,count_000020:irrelevant,count,irrelevant,,000020,tallyqa
tallyqa,audit,count_000021:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000021_base.png,ecacb599c89ad603b132b5a2df046b119cde93e78f0462450d923aa176f4fcee,count_000021:base,count,base,,000021,tallyqa
tallyqa,audit,count_000021:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000021_relevant.png,2b8c095254318709a6f3b902092a34893e75e18db75f679a142ad677774b7628,count_000021:relevant,count,relevant,,000021,tallyqa
tallyqa,audit,count_000021:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000021_irrelevant.png,670e26602f03094224d9787278552ca14d037c2ddd5c9a00bcbe20f138439a3b,count_000021:irrelevant,count,irrelevant,,000021,tallyqa
tallyqa,audit,count_000022:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000022_base.png,63132c0ee7ef8d581f4a0f94fbd5bf20243ac983211640553e0b3f5a59fb6299,count_000022:base,count,base,,000022,tallyqa
tallyqa,audit,count_000022:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000022_relevant.png,2abfac952a08327c66edbf41b682f6eb9fdc4c9c4ed65e9cfd52c166e669647f,count_000022:relevant,count,relevant,,000022,tallyqa
tallyqa,audit,count_000022:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000022_irrelevant.png,0d5725a06be17fe0542eb34c9fbeb54e2bc70b7a796b9d52cc7f68e634f48cef,count_000022:irrelevant,count,irrelevant,,000022,tallyqa
tallyqa,audit,count_000023:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000023_base.png,88dd501f258fa71b159cd6c4bbfcab7227b1b9ae801dcc769fcbad1d38c492fb,count_000023:base,count,base,,000023,tallyqa
tallyqa,audit,count_000023:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000023_relevant.png,0a50221bd8025da32517d06971796e86d24592a40785007c44c685049a876ceb,count_000023:relevant,count,relevant,,000023,tallyqa
tallyqa,audit,count_000023:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000023_irrelevant.png,89825c92f304ac96596a85d2792494a0c1fecaf951e248aebcb759fbc2bff009,count_000023:irrelevant,count,irrelevant,,000023,tallyqa
tallyqa,audit,count_000024:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000024_base.png,1e83cd5b32365acef15b04e7d1830a3e55420aee56f82ea133dc53359e7de9d4,count_000024:base,count,base,,000024,tallyqa
tallyqa,audit,count_000024:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000024_relevant.png,559db6966603ffe290eef826033c057935949932956ac723d3fbb2110f6ad86b,count_000024:relevant,count,relevant,,000024,tallyqa
tallyqa,audit,count_000024:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000024_irrelevant.png,806c9f14d093c38511b18834720888f74a6af48ef2d657d71154f137652e675a,count_000024:irrelevant,count,irrelevant,,000024,tallyqa
tallyqa,audit,count_000025:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000025_base.png,e5696b33f8915e662169afeaeb018ee682ad3c5a4b20b19bac765bc01fdb1988,count_000025:base,count,base,,000025,tallyqa
tallyqa,audit,count_000025:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000025_relevant.png,55996c634f5c818888a0c57156302e26e2276844633596f824fa2dd754695631,count_000025:relevant,count,relevant,,000025,tallyqa
tallyqa,audit,count_000025:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000025_irrelevant.png,a95640630a2e55c68864abeabac5f8ae808b287e353874f1371729481c89b71b,count_000025:irrelevant,count,irrelevant,,000025,tallyqa
tallyqa,audit,count_000026:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000026_base.png,a301033aa35ff8f23842ac765f038e55e322714e5f19404747e435900c57dc45,count_000026:base,count,base,,000026,tallyqa
tallyqa,audit,count_000026:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000026_relevant.png,5c12aebd16be9a6c34bba3ea501ddd328af56d99564358d97cbcabc638d12fa7,count_000026:relevant,count,relevant,,000026,tallyqa
tallyqa,audit,count_000026:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000026_irrelevant.png,70aab3ec9936962dc8aba23bbe975be93a9d4425474fe668de561862400393d1,count_000026:irrelevant,count,irrelevant,,000026,tallyqa
tallyqa,audit,count_000027:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000027_base.png,94e3e8ef2be3bf5a87e01ef48ff1a814db84978b71491cded6e4d5bee1a00c15,count_000027:base,count,base,,000027,tallyqa
tallyqa,audit,count_000027:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000027_relevant.png,d98fd245e6231af2b70e7a9892046b4a1bc7e44adfeff7a412d0b0a5830657c1,count_000027:relevant,count,relevant,,000027,tallyqa
tallyqa,audit,count_000027:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000027_irrelevant.png,a5a1c4fcddb87df862bfacf6fd332555b6fa74f45281db1db2a9e886a154e8c1,count_000027:irrelevant,count,irrelevant,,000027,tallyqa
tallyqa,audit,count_000028:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000028_base.png,0ff26c86061184e26ef59e7e328919b125e90e5bba3c3bdf220425b6ab4effa4,count_000028:base,count,base,,000028,tallyqa
tallyqa,audit,count_000028:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000028_relevant.png,eec7a8b894b27371ec018812386b3632ce46f151657cb1885058693bc00baee8,count_000028:relevant,count,relevant,,000028,tallyqa
tallyqa,audit,count_000028:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000028_irrelevant.png,29b3a38a89c07991ce718182476d084c4232c8824bf86deefe446f0e9c56b19e,count_000028:irrelevant,count,irrelevant,,000028,tallyqa
tallyqa,audit,count_000029:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000029_base.png,76730c706b7f5c830599597dcfd2a5eb9dfcdec4a5d781f614bbfd7585b56003,count_000029:base,count,base,,000029,tallyqa
tallyqa,audit,count_000029:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000029_relevant.png,db4c939d323857b845c330a77b2277e7bf194cd8b6e5f428e4f4ae7e8fb4c047,count_000029:relevant,count,relevant,,000029,tallyqa
tallyqa,audit,count_000029:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000029_irrelevant.png,46ec92d6490d3015f9f0dd461d86aeddf8770081df57cf3027ff45eaf176943b,count_000029:irrelevant,count,irrelevant,,000029,tallyqa
tallyqa,audit,count_000030:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000030_base.png,19b424e1d8a77a99a9cbc12094d6fbb6945519d6ef69a94f2bd07fb891101610,count_000030:base,count,base,,000030,tallyqa
tallyqa,audit,count_000030:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000030_relevant.png,ed4d70df09d6ea0c64745473b85f117dfd28e57315274bc1db61f66493a56c85,count_000030:relevant,count,relevant,,000030,tallyqa
tallyqa,audit,count_000030:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000030_irrelevant.png,1cb5334336490cc4f5426e78c0a283921978b1b8f560b4b18615264e871de7f5,count_000030:irrelevant,count,irrelevant,,000030,tallyqa
tallyqa,audit,count_000031:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000031_base.png,3304c31de3b6017fd78ec4c13a44ae40f26d62fc1fcd968334e4ed8c2d6a576e,count_000031:base,count,base,,000031,tallyqa
tallyqa,audit,count_000031:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000031_relevant.png,b667175986c161f02b7e8dc60d33bbc8bbef57b35de826bb4523c9271d4f6540,count_000031:relevant,count,relevant,,000031,tallyqa
tallyqa,audit,count_000031:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000031_irrelevant.png,24473c1d3a0f8e26f93a5bd4dddc6e607e24907b79b15e3ce033612f9cd9e73f,count_000031:irrelevant,count,irrelevant,,000031,tallyqa
tallyqa,audit,count_000032:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000032_base.png,60df343641af28a8ab6b214d1afe5b2b92d90c943935d65edc73010a01161e49,count_000032:base,count,base,,000032,tallyqa
tallyqa,audit,count_000032:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000032_relevant.png,5316654aa901abecc7e88c9b9303af40423e1df4a0af71a6026d22c94b9e6744,count_000032:relevant,count,relevant,,000032,tallyqa
tallyqa,audit,count_000032:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000032_irrelevant.png,95a9210be115459695c63feb22ccab3826e8819ba37d922a0e1adeb09c637c2e,count_000032:irrelevant,count,irrelevant,,000032,tallyqa
tallyqa,audit,count_000033:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000033_base.png,960c2bddce896cca11514c69e860577d3d3baef65915aa9b56eedf33021557b2,count_000033:base,count,base,,000033,tallyqa
tallyqa,audit,count_000033:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000033_relevant.png,f856100b82efb67f101af154f9b36fb5f6d1fbcc714a176e135c87382e4e028f,count_000033:relevant,count,relevant,,000033,tallyqa
tallyqa,audit,count_000033:irrelevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000033_irrelevant.png,ddd9f5ccefd4ef9794605c6ad60b3eed9a6d01c62297f493e117170e99b334bf,count_000033:irrelevant,count,irrelevant,,000033,tallyqa
tallyqa,audit,count_000034:base,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000034_base.png,27768907427bf8c7aef35a80e3794640aa74c3fc4dc7a4d35407762295fc9034,count_000034:base,count,base,,000034,tallyqa
tallyqa,audit,count_000034:relevant,,/root/autodl-tmp/RewardLens/code/images/outputs/count_scale_v1/images/count_000034_relevant.png,f328000ca6f7634f5ae9c50eb52562b3bb6feca71ce5126b2454f5bebefa78b4,count_000034:relevant,count,relevant,,000034,tallyqa
