factor,held_out_family,n_train,n_test,M0,M1,delta_mae
presence,qa_family_3,7,1,"{""mae"": 0.01175569444572977, ""rmse"": 0.01175569444572977}","{""mae"": 0.1161457656408953, ""rmse"": 0.1161457656408953}",-0.10439007119516552
presence,qa_family_4,7,1,"{""mae"": 0.027926748829269377, ""rmse"": 0.027926748829269377}","{""mae"": 0.02462335715308961, ""rmse"": 0.02462335715308961}",0.0033033916761797677
presence,qa_family_5,7,1,"{""mae"": 0.03708410053726374, ""rmse"": 0.03708410053726374}","{""mae"": 0.015451962710734901, ""rmse"": 0.015451962710734901}",0.02163213782652884
presence,qa_family_6,7,1,"{""mae"": 0.07188478492989847, ""rmse"": 0.07188478492989847}","{""mae"": 0.09140887072576231, ""rmse"": 0.09140887072576231}",-0.019524085795863844
presence,qa_family_7,7,1,"{""mae"": 0.04974739054046329, ""rmse"": 0.04974739054046329}","{""mae"": 0.04507225455167396, ""rmse"": 0.04507225455167396}",0.004675135988789325
spatial,qa_family_0,7,1,"{""mae"": 0.06564079271858125, ""rmse"": 0.06564079271858125}","{""mae"": 0.06169750284853881, ""rmse"": 0.06169750284853881}",0.0039432898700424435
spatial,qa_family_1,7,1,"{""mae"": 0.06341483030613704, ""rmse"": 0.06341483030613704}","{""mae"": 0.16628031806033683, ""rmse"": 0.16628031806033683}",-0.10286548775419979
spatial,qa_family_2,7,1,"{""mae"": 0.03345417234224057, ""rmse"": 0.03345417234224057}","{""mae"": 0.11554307512506412, ""rmse"": 0.11554307512506412}",-0.08208890278282355
spatial,qa_family_3,7,1,"{""mae"": 0.02093487136992367, ""rmse"": 0.02093487136992367}","{""mae"": 0.11609831380343916, ""rmse"": 0.11609831380343916}",-0.09516344243351549
spatial,qa_family_4,7,1,"{""mae"": 0.07519327900195605, ""rmse"": 0.07519327900195605}","{""mae"": 0.03507354974323995, ""rmse"": 0.03507354974323995}",0.0401197292587161
spatial,qa_family_5,7,1,"{""mae"": 0.05365171310386141, ""rmse"": 0.05365171310386141}","{""mae"": 0.052710690791054726, ""rmse"": 0.052710690791054726}",0.000941022312806683
spatial,qa_family_6,7,1,"{""mae"": 0.11685620517118189, ""rmse"": 0.11685620517118189}","{""mae"": 0.16221365497696494, ""rmse"": 0.16221365497696494}",-0.045357449805783046
spatial,qa_family_7,7,1,"{""mae"": 0.06561897419857654, ""rmse"": 0.06561897419857654}","{""mae"": 0.051172389351726744, ""rmse"": 0.051172389351726744}",0.014446584846849797
